cn,artist,cardindex,colors,convertedManaCost,flavor_text,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,power,Price (Dollars),rarity,rules_text,setCode,subtypes,toughness,types
1,Anthony Palumbo,31644,W,2,Inner strength is never seen until it makes all the difference.,,{1}{W},2,afc1ca2e-736b-57e1-a46f-4072b7941d4b,447137,Aegis of the Heavens,,0.10,uncommon,Target creature gets +1/+7 until end of turn.,M19,,,Instant
2,Izzy,31645,W,4,"Most smiths shape metal, but some prefer more delicate materials.",,{3}{W},4,9ee6fd91-5aaa-5ba6-b9fe-122b4bd48718,447138,Aethershield Artificer,3,0.15,uncommon,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",M19,"Dwarf,Artificer",3,Creature
3,Victor Adame Minguez,31646,W,4,,4,{2}{W}{W},4,69fd3d98-0404-58b3-88cf-084f79fd2898,447139,"Ajani, Adversary of Tyrants",,4.08,mythic,"[+1]: Put a +1/+1 counter on each of up to two target creatures.
[âˆ’2]: Return target creature card with mana value 2 or less from your graveyard to the battlefield.
[âˆ’7]: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""",M19,Ajani,,Planeswalker
4,Slawomir Maniak,31647,W,4,,,{2}{W}{W},4,ec56517c-7421-5e36-aece-a9bfd5a5ed2a,447140,Ajani's Last Stand,,0.11,rare,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.
When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",M19,,,Enchantment
5,Svetlin Velinov,31648,W,2,"""When one of us prospers, the pride prospers.""
â€”Jazal Goldmane",,{1}{W},2,6648cb26-d97f-5f59-ac19-c5b025705503,447141,Ajani's Pridemate,2,0.21,uncommon,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",M19,"Cat,Soldier",2,Creature
6,Eric Deschamps,31649,W,1,"""You cannot defend others if your own well-being is neglected.""",,{W},1,31d8b53d-ac03-58f5-a415-1b35600abfb1,447142,Ajani's Welcome,,1.51,uncommon,"Whenever a creature enters the battlefield under your control, you gain 1 life.",M19,,,Enchantment
7,Livia Prima,31650,W,5,She sings for all those who have been silenced.,,{4}{W},5,753fb4f6-9274-594a-b695-64caf6a3bf40,447143,Angel of the Dawn,3,0.02,common,"Flying
When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",M19,Angel,3,Creature
8,Slawomir Maniak,31651,W,2,,,{1}{W},2,3fc98736-0d98-52f8-9324-65cad44a73e2,447144,Cavalry Drillmaster,2,0.01,common,"When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",M19,"Human,Knight",1,Creature
9,Noah Bradley,31652,W,5,"In their final moments, the demons gazed upon grace in its purest form.",,{3}{W}{W},5,6713c58d-2bcd-5bc9-a25a-bb10bbfce654,447145,Cleansing Nova,,0.34,rare,"Choose one â€”
â€¢ Destroy all creatures.
â€¢ Destroy all artifacts and enchantments.",M19,,,Sorcery
10,Volkan BaÇµa,31653,W,2,"""May the light shine through me to guide the lost.""",,{1}{W},2,dfd98c39-2255-51b7-b8cb-d4e41db761d1,447146,Daybreak Chaplain,1,0.01,common,Lifelink (Damage dealt by this creature also causes you to gain that much life.),M19,"Human,Cleric",3,Creature
11,Even Amundsen,31654,W,4,"""These storied halls are under my protection.""",,{3}{W},4,a3cb413a-409f-53a1-b913-9a1055f39628,447147,Dwarven Priest,2,0.01,common,"When Dwarven Priest enters the battlefield, you gain 1 life for each creature you control.",M19,"Dwarf,Cleric",4,Creature
12,Craig J Spearing,31655,W,4,"""Our duty does not stop at our borders.""",,{3}{W},4,c521edaf-df1e-5bb2-8a87-4aff1719d86f,447148,Gallant Cavalry,2,0.04,common,"Vigilance (Attacking doesn't cause this creature to tap.)
When Gallant Cavalry enters the battlefield, create a 2/2 white Knight creature token with vigilance.",M19,"Human,Knight",2,Creature
13,Tommy Arnold,31656,W,5,The clerics prayed for salvation. The soldiers prayed for victory. Both prayers were answered.,,{3}{W}{W},5,201fc784-8f42-50c1-a297-fe6e5396163b,447149,Herald of Faith,4,0.10,uncommon,"Flying
Whenever Herald of Faith attacks, you gain 2 life.",M19,Angel,3,Creature
14,Jason Rainville,31657,W,4,Law protects but also contains.,,{3}{W},4,0c36cf37-8a4a-5ea9-86b9-d677647d8522,447150,Hieromancer's Cage,,0.07,uncommon,"When Hieromancer's Cage enters the battlefield, exile target nonland permanent an opponent controls until Hieromancer's Cage leaves the battlefield.",M19,,,Enchantment
15,Wayne Reynolds,31658,W,4,"""Impossible! How could they overwhelm us? We had barricades, war elephants, â€¦ and they were barely a tenth of our number!""
â€”General Avitora",,{2}{W}{W},4,e49a4912-23b2-5881-81a1-99e006bda5d2,447151,Inspired Charge,,0.01,common,Creatures you control get +2/+1 until end of turn.,M19,,,Instant
