index,artist,colors,convertedManaCost,flavorText,hasFoil,hasNonFoil,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,number,Price (Dollars),power,rarity,setCode,subtypes,text,toughness,types
31644,Anthony Palumbo,W,2,Inner strength is never seen until it makes all the difference.,1,1,,{1}{W},2,afc1ca2e-736b-57e1-a46f-4072b7941d4b,447137,Aegis of the Heavens,1,$0.10 ,,uncommon,M19,,Target creature gets +1/+7 until end of turn.,,Instant
31645,Izzy,W,4,"Most smiths shape metal, but some prefer more delicate materials.",1,1,,{3}{W},4,9ee6fd91-5aaa-5ba6-b9fe-122b4bd48718,447138,Aethershield Artificer,2,$0.15 ,3,uncommon,M19,"Dwarf,Artificer","At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",3,Creature
31646,Victor Adame Minguez,W,4,,1,1,4,{2}{W}{W},4,69fd3d98-0404-58b3-88cf-084f79fd2898,447139,"Ajani, Adversary of Tyrants",3,$4.08 ,,mythic,M19,Ajani,"[+1]: Put a +1/+1 counter on each of up to two target creatures.
[−2]: Return target creature card with mana value 2 or less from your graveyard to the battlefield.
[−7]: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""",,Planeswalker
31647,Slawomir Maniak,W,4,,1,1,,{2}{W}{W},4,ec56517c-7421-5e36-aece-a9bfd5a5ed2a,447140,Ajani's Last Stand,4,$0.11 ,,rare,M19,,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.
When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",,Enchantment
31648,Svetlin Velinov,W,2,"""When one of us prospers, the pride prospers.""
—Jazal Goldmane",1,1,,{1}{W},2,6648cb26-d97f-5f59-ac19-c5b025705503,447141,Ajani's Pridemate,5,$0.21 ,2,uncommon,M19,"Cat,Soldier","Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",2,Creature
31649,Eric Deschamps,W,1,"""You cannot defend others if your own well-being is neglected.""",1,1,,{W},1,31d8b53d-ac03-58f5-a415-1b35600abfb1,447142,Ajani's Welcome,6,$1.51 ,,uncommon,M19,,"Whenever a creature enters the battlefield under your control, you gain 1 life.",,Enchantment
31650,Livia Prima,W,5,She sings for all those who have been silenced.,1,1,,{4}{W},5,753fb4f6-9274-594a-b695-64caf6a3bf40,447143,Angel of the Dawn,7,$0.02 ,3,common,M19,Angel,"Flying
When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",3,Creature
31651,Slawomir Maniak,W,2,,1,1,,{1}{W},2,3fc98736-0d98-52f8-9324-65cad44a73e2,447144,Cavalry Drillmaster,8,$0.01 ,2,common,M19,"Human,Knight","When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",1,Creature
31652,Noah Bradley,W,5,"In their final moments, the demons gazed upon grace in its purest form.",1,1,,{3}{W}{W},5,6713c58d-2bcd-5bc9-a25a-bb10bbfce654,447145,Cleansing Nova,9,$0.34 ,,rare,M19,,"Choose one —
• Destroy all creatures.
• Destroy all artifacts and enchantments.",,Sorcery
31653,Volkan Baǵa,W,2,"""May the light shine through me to guide the lost.""",1,1,,{1}{W},2,dfd98c39-2255-51b7-b8cb-d4e41db761d1,447146,Daybreak Chaplain,10,$0.01 ,1,common,M19,"Human,Cleric",Lifelink (Damage dealt by this creature also causes you to gain that much life.),3,Creature
